id,time,mood,appCat.communication,appCat.other,sms,circumplex.valence,screen,appCat.entertainment,appCat.weather,appCat.social,appCat.game,appCat.office,call,appCat.builtin,appCat.finance,circumplex.arousal,activity,appCat.utilities,appCat.unknown,appCat.travel
AS14.01,2014-03-31 21:00:00,8.0,1435.891,56.95,0.0,1.0,2182.612999916078,379.205,0.0,178.736,0.0,0.0,0.0,221.32,0.0,1.0,0.3833333333333333,25.281,0.0,78.449
AS14.01,2014-04-01 09:00:00,7.0,4134.798,110.968,0.0,1.0,8500.352000474926,1343.671,0.0,774.136,0.0,28.764,0.0,839.981,0.0,1.0,0.6419587347133981,361.05199999999996,0.0,0.0
AS14.01,2014-04-01 12:00:00,7.0,480.177,15.05,0.0,1.0,2555.54500055313,2.026,0.0,314.197,234.741,0.0,0.0,242.522,0.0,1.0,1.521128240446423,98.495,0.0,1265.114
AS14.01,2014-04-01 15:00:00,6.0,1345.406,54.277,0.0,0.0,5072.101999998097,176.73399999999998,0.0,1500.9959999999999,0.0,0.0,0.0,176.676,261.33,0.0,0.237136960047177,243.113,0.0,349.507
AS14.01,2014-04-01 17:00:00,5.0,184.054,7.17,0.0,-1.0,230.01900005340582,0.0,0.0,13.134,0.0,0.0,0.0,25.235,0.0,0.0,0.0258620689655172,0.0,0.0,0.0
AS14.01,2014-04-01 21:00:00,5.0,588.885,35.651,0.0,-1.0,3683.431001186366,257.801,0.0,2011.632,0.0,63.624,1.0,261.974,258.3,-1.0,0.3167062477164777,0.0,0.0,0.0
AS14.01,2014-04-02 09:00:00,6.0,2900.654,88.892,0.0,0.0,4915.070000648498,231.50900000000001,0.0,981.446,0.0,0.0,0.0,319.311,52.475,1.0,0.8367834650163467,28.396,0.0,0.0
AS14.01,2014-04-02 15:00:00,7.0,2091.179,375.782,0.0,1.0,6427.2869992256165,792.657,0.0,1791.796,0.0,90.481,0.0,2679.1310000000003,141.67,1.0,1.09624763962754,243.533,0.0,0.0
AS14.01,2014-04-02 18:00:00,6.0,538.527,9.026,0.0,0.0,1170.0489997863763,13.028,0.0,225.365,0.0,0.0,0.0,78.324,0.0,0.0,0.22905496167528222,0.0,0.0,0.0
AS14.01,2014-04-02 21:00:00,7.0,1106.4,43.634,0.0,1.0,2815.826999902725,155.038,0.0,905.994,0.0,0.0,4.0,430.20099999999996,81.828,-1.0,0.1603107344632769,0.0,0.0,0.0
AS14.01,2014-04-03 09:00:00,7.0,4148.889,33.249,0.0,1.0,11096.897000789646,264.767,0.0,674.5260000000001,0.0,0.0,0.0,1017.488,0.0,-2.0,0.4168417366946783,115.886,0.0,0.0
AS14.01,2014-04-03 12:00:00,6.0,3045.553,136.335,0.0,-1.0,5092.676000118259,287.643,0.0,1235.296,0.0,0.0,0.0,575.8679999999999,76.234,-1.0,0.4216006741679723,28.1,0.0,0.0
AS14.01,2014-04-03 15:00:00,7.0,4270.756,52.345,0.0,1.0,5741.452000141139,191.833,0.0,237.835,0.0,0.0,1.0,604.675,0.0,-1.0,0.3043725964962252,0.0,0.0,0.0
AS14.01,2014-04-03 18:00:00,6.0,1295.103,8.021,0.0,0.0,1547.1019999980929,405.145,0.0,124.898,0.0,0.0,1.0,95.739,0.0,-1.0,0.1507062146892655,0.0,0.0,0.0
AS14.01,2014-04-03 21:00:00,6.0,222.584,7.094,0.0,-1.0,329.08999991416937,0.0,0.0,40.584,0.0,0.0,2.0,58.564,0.0,-1.0,0.0508771929824561,0.0,0.0,0.0
AS14.01,2014-04-04 10:00:00,6.0,4418.496,10.107,0.0,0.0,7112.22900032997,575.609,0.0,1622.366,0.0,0.0,0.0,363.374,0.0,-1.0,0.2,108.22800000000001,0.0,19.082
